"","Progress","Duration (in seconds)","Finished","ResponseId","DistributionChannel","UserLanguage","Q1","1.Q1","1.Q2","1.Q3","1.Q4","2.Q1","2.Q2","2.Q3","2.Q4","3.Q1","3.Q2","3.Q3","3.Q4","4.Q1","4.Q2","4.Q3","4.Q4","5.Q1","5.Q2","5.Q3","5.Q4","Q11","Q12","Q14","Q24","Q13","Q25","Q26","Q29_1","Q30","Q31","Q32","Q34","Q35","Q36","Q17","Q19","Q20","Q6","Q7","Q8","Q9","Time Lag 1","Attribution Confidence 1","Damage Assessment 1","Hack type 1","Persistence 1","Time Lag 2","Attribution Confidence 2","Damage Assessment 2","Hack type 2","Persistence 2","Time Lag 3","Attribution Confidence 3","Damage Assessment 3","Hack type 3","Persistence 3","Time Lag 4","Attribution Confidence 4","Damage Assessment 4","Hack type 4","Persistence 4","Time Lag 5","Attribution Confidence 5","Damage Assessment 5","Hack type 5","Persistence 5"
"1",100,1036,TRUE,"R_3Mgp3wKC8RFHOdk","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Employ a proportional response",NA,TRUE,FALSE,TRUE,FALSE,FALSE,"Secure",TRUE,4,"Probably take my winnings","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat easy","Yes","No","No","Yes","4 year degree","USA","Yes","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","10 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other."
"2",100,781,TRUE,"R_cT17M8zMxrzu2OJ","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Escalatory attack",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","extremely confident","Escalatory attack",NA,FALSE,TRUE,TRUE,FALSE,TRUE,"Secure",TRUE,6,"Probably take my winnings","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat difficult","Yes","Yes","Yes","Yes","Professional degree","US","No","6 months","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","500 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia."
"3",100,2709,TRUE,"R_2dnXWD9b7Brk57k","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Escalatory attack",NA,TRUE,TRUE,TRUE,FALSE,FALSE,"Secure",TRUE,5,"Definitely take my winnings","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat difficult","Yes","Yes","Yes","Yes","4 year degree","Vietnamese","No","6 months","60%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia."
"4",100,943,TRUE,"R_3CUBqUpL3io9B20","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Deescalate","No","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Escalatory attack",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,FALSE,TRUE,TRUE,FALSE,TRUE,"Secure",TRUE,3,"Probably take my winnings","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither easy nor difficult","No","Yes","Yes","Yes","4 year degree","American","No","1 month","90%","10 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other."
"5",100,8874,TRUE,"R_29nBgQDL4GCbqj6","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes",FALSE,FALSE,TRUE,FALSE,FALSE,"Secure",FALSE,2,"Definitely take my winnings","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat difficult","No","No","Yes","Yes","4 year degree","American","Yes","6 months","60%","500 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other."
"6",100,2902,TRUE,"R_ZkFWLNkUuwZVOxz","email","EN","I consent, begin the study","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,FALSE,FALSE,TRUE,FALSE,FALSE,"Secure",FALSE,6,"Probably continue playing","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither easy nor difficult","No","No","No","No","Professional degree",NA,"No","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","10 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia."
"7",100,17166,TRUE,"R_3ncM7vYrxVhmj3g","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Deescalate","Yes","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","not very confident","Deescalate","Yes",TRUE,FALSE,TRUE,FALSE,TRUE,"Secure",TRUE,2,"Definitely take my winnings","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat difficult","Yes","No","Yes","Yes","4 year degree","USA","No","6 months","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","60%","10 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","90%","10 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other."
"8",100,788,TRUE,"R_2zp6AVj0rOiFuuz","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Deescalate","No","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Deescalate","Yes","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","extremely unconfident","Deescalate","No","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","not very confident","Deescalate","Yes",FALSE,FALSE,TRUE,FALSE,TRUE,"Secure",FALSE,5,"Probably take my winnings","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat easy","No","No","Yes","Yes","4 year degree","American","No","1 month","90%","500 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","90%","500 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","60%","500 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia."
"9",100,1174,TRUE,"R_3GwDV7Tj1T5LlSf","email","EN","I consent, begin the study","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Deescalate","Yes","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Employ a proportional response",NA,"Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","very confident","Employ a proportional response",NA,TRUE,FALSE,TRUE,FALSE,FALSE,"Secure",TRUE,2,"Definitely take my winnings","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Extremely difficult","No","No","No","Yes","4 year degree","Indian","No","6 months","60%","10 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","60%","500 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","10 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","6 months","90%","10 Million","where valuable confidential information is stolen","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other.","1 month","90%","500 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia."
"10",100,15612,TRUE,"R_3qeNHKn0D8CoRZI","email","EN","I consent, begin the study","Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","somewhat confident","Deescalate","Yes","Sylvania is simply advancing its immediate interest fulfilling a tactical objective. Our prior high intensity attack was not relevant to their decision to attack us now.","somewhat confident","Escalatory attack",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Employ a proportional response",NA,"Sylvania is signaling their opposition to our prior high intensity attack. They want to strategically deter attacks of this kind in the future.","not very confident","Deescalate","No",TRUE,FALSE,TRUE,FALSE,FALSE,"Secure",TRUE,5,"Probably take my winnings","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat easy","Yes","No","Yes","Yes","Professional degree","us","No","1 month","90%","10 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","90%","10 Million","where valuable confidential information is stolen","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","1 month","60%","500 Million","that temporarily disables a critical service","Sylvania has been engaging in ongoing low-impact tactical cyber operations against Freedonia.","6 months","60%","10 Million","that temporarily disables a critical service","Both nations have been engaging in ongoing low-impact tactical cyber operations against each other."
